"total_sleep_time","cumulative_gpa","term_gpa","race","gender","firstgen","study"
7.92160493833333,3.7999995,3.766666,1,0,0,2
6.39940476166667,2.92,3.52,1,0,0,3
7.00493827166667,3.335,3.63,1,0,0,3
6.97559523833333,3.816896552,3.67,1,0,0,3
6.698,2.827857143,3,1,0,0,3
6.10641025666667,3.315,3.9,1,0,0,3
7.77727272666667,3.428333333,3.28,1,0,0,3
8.88690476166667,3.938,3.8,1,0,0,3
6.054761905,3.267272727,3.84,1,0,0,3
8.29814814833333,3.33,3.59,1,0,0,3
6.70535714333333,3.75862069,3.43,1,0,0,3
7.22133333333333,2.498235294,3.83,1,0,0,3
6.68395061666667,3.788181818,3.91,1,0,0,3
5.98988095166667,3.720645161,3.77,1,0,0,3
8.48141025666667,3.546363636,3.46,1,0,0,3
5.60617284,2.538947368,1.96,1,0,0,3
5.60654761833333,3.03,2,0,0,0,3
6.19285714333333,3.2525,3.93,1,0,0,3
6.457738095,3.673448276,4,1,0,0,3
6.62083333333333,3.348181818,3.71,1,0,0,3
7.782738095,3.925454545,4,1,0,0,3
5.84691358,3.092333333,2.26,0,0,0,3
7.770987655,3.46,3.37,1,0,0,3
5.625,3.40875,3.11,0,0,0,3
7.71833333333333,3.3,2.87,0,0,0,3
7.68452381,4,4,1,0,0,3
7.27083333333333,3.295882353,3.33,1,0,0,3
7.51785714333333,3.625714286,3.54,1,0,0,3
6.53154761833333,3.875555556,3.87,1,0,0,3
5.58765432166667,1.587692308,0.35,1,0,0,3
7.10833333333333,3.165,3.33,0,0,0,3
7.54266666666667,3.223703704,3.5,1,0,0,3
6.91025641,3.670689655,3.62,1,0,0,3
6.72407407333333,3.324347826,3.46,0,0,0,3
6.651785715,3.553214286,3.54,1,0,0,3
7.15384615333333,3.713928571,3.19,1,0,0,3
7.42115384666667,3.5353125,2.97,1,0,0,3
6.46666666666667,3.1625,3.71,1,0,0,3
7.13095238166667,3.111,3.333166667,1,1,0,4
6.192528735,3.904857143,3.952428571,1,0,0,4
6.699444445,3.277666667,3.611166667,1,0,0,4
7.12222222166667,3.777833333,3.722166667,1,1,0,4
7.33690476166667,3.333428571,3.3335,0,0,0,4
5.1,3.666833333,3.777833333,1,0,0,4
